# Key,# English
-,-
@GAME_SUMMARY,%0 to next wave\nMoney: %1\nHealth: %2\nWave: %3
@HOWTOPLAY,Build towers to stop the ever-advancing wave of insects!\nPan around the map with WASD or with the middle mouse button!\n\nBuild and upgrade towers along the track!\nClick on a tower to view its stats or upgrade it!\nSend in waves early to get bonus money!\nIf too many foes make it to the end of the track
@PATRONS,"Thank you to my Patreon supporters!\n\nAugustín Molina Uasuf, bryin lyin, "
@TD_BUG_SPRAY_0,Spray the track with bug\nrepellent!
@TD_BUG_SPRAY_1,Clouds last longer and\naffect more foes!
@TD_BUG_SPRAY_2,Spray much faster!
@TD_FIRE_BLASTER_0,Kill foes with fire!
@TD_FIRE_BLASTER_1,Shoots fire faster!
@TD_FIRE_BLASTER_2,Burn effect lasts longer!
@TD_MAGNIFY_0,Burn foes with the power\nof the sun!
@TD_MAGNIFY_1,Increased damage and\nattack radius!
@TD_MAGNIFY_2,Does yet more damage\nand burns foes for\ngood measure!
@TD_NEST_0,Call on local birds to snack\non the foes!
@TD_NEST_1,Birds do more damage!
@TD_NEST_2,Summon an fourth bird!
@TD_PAPER_0,Slow down the incoming\nfoes with sticky paper!
@TD_PAPER_1,Duration and magnitude of\nslow increased!
@TD_PAPER_2,Fly paper momentarily\nimmobilizes anything\nthat walks over it!
@TD_PEBBLE_SHOOTER_0,A basic pebble-shooting\ntower!
@TD_PEBBLE_SHOOTER_1,Pebble shooter damage\nincreased!
@TD_PEBBLE_SHOOTER_2,Shoots twice as fast!
@TN_BIRD_NEST,Bird Nest
@TN_BUG_SPRAY,Bug Spray
@TN_FIRE_BLASTER,Fire Blaster
@TN_FLY_PAPER,Fly Paper Dispenser
@TN_MAGNIFYING_GLASS,Magnifying Glass
@TN_PEBBLE_SHOOTER,Pebble Shooter
@TOWER_MAX_LEVEL,(Max Level)
@TOWER_SUMMARY,%0 (Lv. %1)\nShots: %2\nDamange dealt: %3
@TOWER_SUMMARY_GLASS,%0 (Lv. %1)\nFocus duration: %2\nDamange dealt: %3
@TOWER_SUMMARY_PAPER,%0 (Lv. %1)\nPapers dispensed: %2\nVictims: %3
@TOWER_SUMMARY_PAPER_ADVANCED,%0 (Lv. %1)\nPapers dispensed: %2\nVictims: %3\nImmobilizations: %4
@TOWER_SUMMARY_SPRAY,%0 (Lv. %1)\nClouds spawned: %2\nVictims: %3\nDamange dealt: %4
@TOWER_TOOLTIP,%0\n\n%1
%0 x %1,%0 x %1
+,+
||,||
1. The Campsite,1. The Campsite
10. The Outskirts,10. The Outskirts
11. The City,11. The City
12. The Castle,12. The Castle
1x,1x
2. The Woods,2. The Woods
2x,2x
3. The Farm,3. The Farm
4. The Canyon,4. The Canyon
5. The\nFlower Fields,5. The\nFlower Fields
6. The Graveyard,6. The Graveyard
7. The Beach,7. The Beach
8. The Pirate Cove,8. The Pirate Cove
9. The Buttes,9. The Buttes
Achievement Progress: %0%,Achievement Progress: %0%
Achievements,Achievements
Back,Back
Back to Title,Back to Title
Bird Nest ($%0),Bird Nest ($%0)
Bombadier: Credits,Bombadier: Credits
Bug Spray ($%0),Bug Spray ($%0)
Credits,Credits
Delete Save,Delete Save
English,English
English (Pirate),English (Pirate)
Fire Blaster ($%0),Fire Blaster ($%0)
Fly Paper Dispenser ($%0),Fly Paper Dispenser ($%0)
FPS: %0,FPS: %0
Fullscreen: Off,Fullscreen: Off
Fullscreen: On,Fullscreen: On
How To Play,How To Play
Language: %0,Language: %0
Made by Michael,Made by Michael
Magnifying Glass ($%0),Magnifying Glass ($%0)
Many assets from kenney.nl,Many assets from kenney.nl
Music by RyanAvx,Music by RyanAvx
Next Level,Next Level
Next Wave,Next Wave
No,No
Particle Density: %0%,Particle Density: %0%
Pause Game,Pause Game
Pebble Shooter,Pebble Shooter
Pebble Shooter ($%0),Pebble Shooter ($%0)
Quit Game,Quit Game
Quit to Desktop,Quit to Desktop
Quit to Title,Quit to Title
Restart,Restart
Resume,Resume
Retry,Retry
Scale: %0%,Scale: %0%
Sell ($%0),Sell ($%0)
Settings,Settings
Some audio from Sonniss,Some audio from Sonniss
spart by TheSnidr,spart by TheSnidr
Special thanks to Michael's sister,Special thanks to Michael's sister
Start,Start
Upgrade ($%0),Upgrade ($%0)
Volume: %0%,Volume: %0%
Would you like to delete\nyour save data?,Would you like to delete\nyour save data?
Would you like to quit the game?,Would you like to quit the game?
Would you like to quit\nthe game?,Would you like to quit\nthe game?
Yes,Yes
You lose!,You lose!
You win!,You win!
